name,device_id,token,room,floor,type
gateway-room-1001,b5aad5b0-13e0-11f1-a750-f365853900c5,ZUmkQQUR6KwEnThTGhLg,1001,10,STANDARD
gateway-room-1002,b5c2ca80-13e0-11f1-a750-f365853900c5,hzNCrn5eFJINzg6vehLO,1002,10,STANDARD
gateway-room-1003,b5ae7f30-13e0-11f1-a750-f365853900c5,JialH03EB2pNepJ71XP3,1003,10,STANDARD
gateway-room-1004,b5b0a210-13e0-11f1-a750-f365853900c5,Kr4gU1mbcaOskP7FaqSX,1004,10,STANDARD
gateway-room-1005,b5b36131-13e0-11f1-a750-f365853900c5,LpGIjZ56RJwx7SlFnjik,1005,10,SUITE
gateway-room-1006,b5bc61e0-13e0-11f1-a750-f365853900c5,5MlUfogTSlVXoqjoNkTh,1006,10,SUITE
gateway-room-1007,b5c896e0-13e0-11f1-a750-f365853900c5,kOclXzPg6TwIjSH3afjX,1007,10,VIP
gateway-room-1008,b5b6bc90-13e0-11f1-a750-f365853900c5,EJ6hTztxcTnzd0oHooOq,1008,10,VIP
gateway-room-101,b254f3f0-13e0-11f1-a750-f365853900c5,dkPCXSC7KRjhpAwa63yH,101,1,STANDARD
gateway-room-102,b272b520-13e0-11f1-a750-f365853900c5,5MWAh4hhdHmiKP4R17c3,102,1,STANDARD
gateway-room-103,b23b0350-13e0-11f1-a750-f365853900c5,5x6qoYpYLQxzutEVPnyU,103,1,STANDARD
gateway-room-104,b252f820-13e0-11f1-a750-f365853900c5,N4PSA6o3T5IPaGgaQ39M,104,1,STANDARD
gateway-room-105,b2785a70-13e0-11f1-a750-f365853900c5,0Fb4WMZsKDTfZ7PKtaGt,105,1,SUITE
gateway-room-106,b287ead0-13e0-11f1-a750-f365853900c5,Syz70ZdDyyEfif0UzjW1,106,1,SUITE
gateway-room-107,b25e1bb0-13e0-11f1-a750-f365853900c5,kvcRkJdkS2e8Rmq9mwJQ,107,1,VIP
gateway-room-108,b283a510-13e0-11f1-a750-f365853900c5,am0GcGaR8MhsKualms4G,108,1,VIP
gateway-room-201,b2589d70-13e0-11f1-a750-f365853900c5,JvvanJ2fkU4OYN2oUs8T,201,2,STANDARD
gateway-room-202,b264ab60-13e0-11f1-a750-f365853900c5,jswOwdwDdRpNxcisODpa,202,2,STANDARD
gateway-room-203,b30c8420-13e0-11f1-a750-f365853900c5,vabbZmO1blCxGhCwl6Cy,203,2,STANDARD
gateway-room-204,b2fd68f0-13e0-11f1-a750-f365853900c5,VpYYMU8tYPImV7cDHTGj,204,2,STANDARD
